"#KateConwayisaJerk" (2015)	2015-????
"Shadow Squad" (1957) {Brought to Book: Part 2 (#3.20)}	1958
"Shaka Laka Boom Boom" (2000) {Sanju and Friends Are Bored at the Summer Camp. (#1.181)}	2001
"Shakhta" (2010) {(#1.2)}	????
"Shameful Sequels" (2009) {Tower of Terror (#5.22)}	2013
"Shamwari: A Wild Life" (2008) {(#1.2)}	????
"Shark Island" (2007) {(#1.4)}	2007
"Shark Tank" (2009) {(#1.10)}	2009
"Shark Tank" (2009) {(#7.6)}	2015
"Shasta McNasty" (1999) {Bachelorette Party (#1.17)}	2000
"Shatner's Raw Nerve" (2008) {Wayne Brady (#1.12)}	2009
"She's the Sheriff" (1987) {The Mother Mugger (#2.17)}	1989
"Shed Wars" (2015)	2015-????
"Shedheads" (2002)	2002-????
"Sheep's Clothing" (1957) {(#1.1)}	1957
"Sheep's Clothing" (1960)	1960-????
"Shelf Life" (2010) {(#1.12)}	2010
"Shell's Wonderful World of Golf" (1994)	1994-2003
"Shepard Smith Reporting" (2013) {(2014-01-17)}	2014
"Shepard Smith Reporting" (2013) {(2015-07-13)}	2015
"Sheriff Callie's Wild West" (2013) {Peck and Toby's Big Yarn/My Fair Stinky (#1.18)}	2014
"Sherlock Holmes und die sieben Zwerge" (1992) {Ein geheimnisvolles Geschenk (#1.1)}	1992
"Sherm!" (2005) {�bernachtung (#1.11)}	2006
"Shiawase no jikan" (2012) {(#1.31)}	2012
"Shichinin no onna bengoshi" (2006) {(#1.6)}	2006
"Shin Baiburu burakku: La lanza de longinus" (2004) {Kyozetsu (Rejection) (#1.5)}	2006
"Shin Sh�kan TV Hihy�" (2009) {Announcers}	2014
"Shinbuneul Sumgyeora" (2015) {(#1.6)}	2015
"Shindig!" (1964) {(#2.26)}	1965
"Shipwrecked: Battle of the Islands" (2006) {(#1.14)}	2006
"Shirley Temple's Storybook" (1958) {Kim (#2.2)}	1960
"Shisut� purinsesu" (2001) {On� chan wa �ji sama (#1.6)}	2001
"Shkola zlosloviya" (2002) {(#10.4)}	????
"Shkola zlosloviya" (2002) {(#11.22)}	????
"Shkola zlosloviya" (2002) {(#2.7)}	????
"Shkola zlosloviya" (2002) {(#3.27)}	2005
"Shock Theater" (1979) {Black Sunday (#4.39)}	1982
"Shoestring" (1979) {The Link-Up (#1.7)}	1979
"Shooting Stars" (1993) {(#2.2)}	1996
"Shooting Stars" (1993) {(#5.8)}	2002
"Shortland Street" (1992) {(#16.226)}	2007
"Shortland Street" (1992) {(#19.4)}	2010
"Shortland Street" (1992) {(#20.8)}	2011
"Shortland Street" (1992) {(2011-08-05)}	2011
"ShotGaming.com: Reviews" (2011) {LA Noire (#1.3)}	2011
"Shouto na Slavi" (2000) {(2008-07-11)}	2008
"Show Me St. Louis" (2006) {(2012-07-23)}	2012
"Show-Report" (1970) {(#1.2)}	1970
"Showbiz Tonight" (2005) {(2005-08-16)}	2005
"Shower of Stars" (1954) {Burlesque (#1.7)}	1955
"Showman" (2009) {(#2.16)}	2010
"Showman" (2009) {(#4.30)}	2011
"Showtime Best of Boxing" (2004)	2004-????
"Shunsuke's World" (2014) {(#2.3)}	2015
"Shutsugeki! Machine Robo Rescue" (2003) {Porisu damashii ha icchokusen! (#1.3)}	2003
"Sh�r� nagashi: Anata wo wasurenai" (2002) {(#1.2)}	2002
"Sh�ten" (1966) {(#1.1913)}	2004
"Sibel & Max" (2015) {Lauffeuer (#1.3)}	2015
"Side Effects" (1994)	1994-1996
"Sidekicks" (1986) {Grey Belts (#1.11)}	1986
"Siempre en domingo" (1970) {Debut de Antonio de Carlo}	1988
"Sila" (2006) {(#2.8)}	2007
"Sila" (2006) {(2008-09-19)}	2008
"Silent Library" (2009) {(#2.19)}	2010
"Silent Library" (2009) {(#3.19)}	2010
"Silent Library" (2009) {(#4.5)}	2011
"Simply Ming" (2003) {Dante deMagistris & Garlic (#9.26)}	2012
"Sing Along with Mitch" (1961) {(#4.3)}	1963
"Single Servings" (2014) {Episode 2: When Trip Moves In (#1.2)}	2014
"Singled Out" (1995) {(#2.3)}	????
"Singleliv" (2007) {(#3.14)}	2008
"Singles" (1988) {Don't Look Now (#3.2)}	1991
"Sinh� Mo�a" (2006) {(2006-08-09)}	2006
"Sinister" (2013) {Better Left Alone (#1.2)}	2014
"Siskel & Ebert & the Movies" (1986) {(1999-07-31)}	1999
"Siskel & Ebert & the Movies" (1986) {(1999-10-23)}	1999
"Sister Wives" (2010) {4 Wives, 4 Valentines (#3.6)}	2012
"Sisters" (1991) {Tangled Webs (#4.16)}	1994
"Six Faces" (1972) {An Old Deceiver (#1.6)}	1972
"Six O'Clock News" (1984) {(2008-06-04)}	2008
"Six O'Clock News" (1984) {(2010-03-02)}	2010
"Six O'Clock News" (1984) {(2010-10-28)}	2010
"Skag" (1980) {The Working Girl: Part 1 (#1.3)}	1980
"Skag" (1980) {The Working Girl: Part 2 (#1.4)}	1980
"Skavlan" (2009) {(#5.1)}	2011
"Skazki Bazhenova" (2004) {(#1.97)}	????
"Skeppsholmen" (2002) {(#1.11)}	2002
"Sket Dance" (2011) {(#1.32)}	????
"Sketchy" (2012) {Abigail Grabs a Salad} {{SUSPENDED}}	2012
"Skibet i skilteskoven" (1992) {Vestens hurtigste spray (#1.14)}	1992
"Skilda v�rldar" (1996) {(#6.22)}	2002
"Sky Midnight News" (2010) {(2010-12-31)}	2010
"Sky Midnight News" (2010) {(2013-08-20)}	2013
"Sky Midnight News" (2010) {(2013-11-05)}	2013
"Sky News: Afternoon Live" (2005) {(2009-04-22)}	2009
"Sky News: Afternoon Live" (2005) {(2010-02-03)}	2010
"Skyrim for Pimps" (2011) {Pirate Steampunk Airship Cat (#5.24)}	2014
"Sk�rg�rdsdoktorn" (1997) {Den barmh�rtige samariten (#1.2)}	1997
"Sladkie istorii" (2011) {(#4.4)}	????
"Sladkie istorii" (2011) {(#7.19)}	????
"Sled" (2007) {(#1.1200)}	????
"Sled" (2007) {(#1.249)}	2009
"Sled" (2007) {(#1.317)}	????
"Sled" (2007) {(#1.458)}	????
"Sled" (2007) {Ukus Kufiji (#1.1)}	2007
"Sledge Hammer!" (1986) {Over My Dead Bodyguard (#1.8)}	1986
"Sliders" (1995) {The Other Slide of Darkness (#3.21)}	1997
"Slings and Arrows" (2003) {Playing the Swan (#1.6)}	2003
"Slisse & Cesar" (1996) {Carnaval (#3.6)}	????
"Slisse & Cesar" (1996) {Geld (#1.13)}	1997
"Slovensko hlad� SuperStar" (2004) {Ctvrt� semifin�le (#2.10)}	2006
"Small Talk" (1996) {(#1.32)}	1996
"Smeshariki: Novye priklyucheniya" (2012) {Nyusha i medved (#1.22)}	2013
"Smeshariki: Pin-kod" (2012) {Pin-peschinka (#1.11)}	????
"Smile" (2002) {(2006-10-29)}	2006
"Smithsonian World" (1984) {The Living Smithsonian}	1987
"Smoke Stories" (2011)	2011-????
"Smosh" (2006) {The Ultimate Shoedown}	2009
"Smosh" (2006) {Tupac's Secret Revealed (BTS)}	2015
"SMS, sin miedo a so�ar" (2006) {Relaciones explosivas (#2.12)}	2007
"Smurfs" (1981) {Wild About Smurfette/Sing a Song of Smurflings (#7.7)}	1987
"Snillen spekulerar" (1959) {(1959-12-12)}	1959
"So Graham Norton" (1998) {(#3.14)}	2000
"So You Think You Can Dance Australia" (2008) {Finale: Winner Announced (#2.25)}	2009
"So You Think You Can Dance" (2005) {Charleston and Washington D.C. (#4.3)}	2008
"So You Think You Can Dance" (2005) {Top 10 Perform + Eliminations (#11.11)}	2014
"Soap Fever" (1999) {(1999-09-03)}	1999
"SoapTalk" (2002) {(2003-07-07)}	2003
"SoapTalk" (2002) {(2004-04-07)}	2004
"SoapTalk" (2002) {(2005-01-17)}	2005
"SoapTalk" (2002) {(2006-04-03)}	2006
"Socias" (2008) {El casamiento (#2.2)}	2008
"Soda" (2011) {Le ventre qui parle (#2.82)}	2012
"SOKO 5113" (1978) {Der Tod des Marquis (#38.23)}	2013
"SOKO Donau" (2005) {Mordgesellen (#3.8)}	2007
"SOKO Donau" (2005) {Sch�ne neue Welt (#9.4)}	2013
"SOKO Stuttgart" (2009) {Abschied (#6.3)}	2014
"SOKO Wismar" (2004) {Ausgebremst (#10.20)}	2014
"SOKO Wismar" (2004) {Tod einer Nachbarin (#4.10)}	2007
"SOKO Wismar" (2004) {Verlassen}	2015
"Sol de Inverno" (2013) {(#1.126)}	2014
"Sol de Inverno" (2013) {(#1.187)}	2014
"Sol et Gobelet" (1968) {La conservation}	1971
"Soldaty otchizny" (1966) {(#1.5)}	????
"Solid Gold" (1980) {(#4.1)}	1983
"Solokhuteuli" (2012) {(#1.9)}	2013
"Son de Fierro" (2007) {(#1.16)}	2007
"Son of Fred" (1956)	1956-????
"Son of Svengoolie" (1978) {The Raven (1963) (#1.130)}	1982
"Sonic Boom" (2014) {Eggheads (#1.8)}	2014
"Sonic X" (2003) {Gamma the Wanderer (#1.31)}	2003
"Sono toki rekishi ga ugoita" (2000) {Soshite kindai Nippon jin ga tanj� shita (#1.167)}	2004
"Sonoran Living Live" (2003) {(2010-07-23)}	2010
"Sonpari" (2001) {Frooty and Gang Visits Amusement Park (#1.21)}	2001
"Sons and Daughters" (1982) {(#1.468)}	1984
"Sons and Daughters" (1982) {(#1.749)}	1986
"Sora no manimani" (2009) {Kotoba no hoshi (#1.5)}	2009
"Sora no otoshimono" (2009) {Reach a Decision! The Up and Down of Heaven and Hell (#2.6)}	2010
"Sorpresa, �Sorpresa!" (1996) {(1996-11-12)}	1996
"Sorties Savantes" (2010) {Spirou & Fantasio: La Face Cach�e du Z - L'homme retournera-t-il sur la Lune? (#1.19)}	2011
"Sosedi" (2010) {(#1.6)}	????
"Soul Train" (1971) {(#20.12)}	1990
"Soul Train" (1971) {Friends of Distinction/Clarence Carter (#1.8)}	1971
"Soundstage" (2003) {Martina McBride (#3.13)}	2005
"Sous le soleil" (1996) {Un pas de trop (#4.36)}	1999
"South at Six" (1961) {(2013-01-08)}	2013
"Southern California Sports Report" (2000) {(2004-01-28)}	2004
"Southern California Sports Report" (2000) {(2005-06-15)}	2005
"Sovetskie biografii" (2009)	2009-????
"Soy el que m�s sabe de televisi�n del mundo" (2005) {(2005-11-12)}	2005
"Soy tu fan" (2006) {La vida es sue�o (#1.2)}	2006
"Space Patrol" (1950) {The Major's Dilemma (#1.19)}	1951
"Spalnyy rayon" (2009) {(#1.25)}	????
"Spangas" (2007) {Abel vertelt zijn plannen (#6.24)}	2012
"Spangas" (2007) {Charley heeft ruzie met haar ouders (#4.112)}	2011
"Spangas" (2007) {Wat doet Katou op stage? (#4.152)}	2011
"Spangas" (2007) {Wie wint de fotowedstrijd? (#4.18)}	2010
"Spanking New Music" (2000)	2000-????
"Special Agent Oso: Three Healthy Steps" (2011) {Play Mini-Golf}	2011
"Special Report with Brit Hume" (1996) {(2011-08-22)}	2011
"Special Report with Brit Hume" (1996) {(2011-09-20)}	2011
"Special Report with Brit Hume" (1996) {(2013-07-15)}	2013
"Special Report with Brit Hume" (1996) {(2013-07-17)}	2013
"Special Report with Brit Hume" (1996) {(2014-12-09)}	2014
"Special Report with Brit Hume" (1996) {(2015-02-05)}	2015
"Spede show" (1968) {(1974-05-23)}	1974
"Speden spelit" (1992) {(#1.62)}	1994
"Spetspodrazdelenie 'Gorod'" (????)	????
"Sphinx - Geheimnisse der Geschichte" (1988) {Tauchfahrt zu Kleopatra}	1997
"Spice Up My Kitchen" (2007) {Loves to Cook, Hates the Kitchen (#2.10)}	2007
"Spider-Man" (1967) {The Evil Sorcerer (#2.9)}	1968
"Spitting Image" (1984) {(1986-02-09)}	1986
"Split Personality" (1967)	1967-????
"Spoed" (2000) {Betrapt (#7.5)}	2004
"SpongeBob SquarePants" (1999) {SB-129/Karate Choppers (#1.14)}	1999
"Spoof Film Critic: Mr. CC Fliiit" (2012) {Rise of the Guardians (#1.6)}	2012
"Spotlight" (2015/I) {Chef's neefje (#2.6)}	2015
"Spotlight" (2015/I) {Onleesbaar (#1.7)}	2015
"Spring" (2002) {(#4.64)}	2006
"Sprockets & Splices" (2009) {Tiger Bear, Ranjanpur Parts 1 and 2 (#5.6)}	2013
"Sprockets & Splices" (2009) {Zombie Chronicles, Parts 1 and 2/Out of Focus (#5.9)}	2013
"Sprosite povara" (2007) {(#1.22)}	????
"Sprosite povara" (2007) {(#1.79)}	????
"Sprosite povara" (2007) {(#1.80)}	????
"Spy-Catcher" (1959) {Double Agent (#2.1)}	1960
"Spynet" (2002) {Covers/Legends (#2.8)}	????
"Sp�cial investigation" (2008) {FIFA: les dieux du foot sont tomb�s sur la t�te}	2015
"Square Off" (2006) {(#1.7)}	2006
"Squawk Box" (1995) {(2012-11-06)}	2012
"Squawk Box" (1995) {(2014-09-15)}	2014
"Sre�ni ljudi" (1993) {(#3.2)}	1995
"Sssshh... Phir Koi Hai" (2006) {Dacait}	????
"Sssshh... Phir Koi Hai" (2006) {Raajkumaari}	????
"St. Angela" (1997) {Alles, nur nicht aufgeben (#9.5)}	2002
"St. Angela" (1997) {Schlaflose N�chte (#6.12)}	2000
"St. Ives" (1955)	1955-????
"St. Pauli-Landungsbr�cken" (1979) {Der Trick (#1.8)}	1979
"Stable Wars: Del Mar" (2014) {By a Length (#2.7)}	2014
"Stacked" (2005) {Romancing the Stones (#2.9)}	2006
"Stage Entrance" (1951)	1951-????
"Stairway to the Stars" (1956) {(1958-10-15)}	1958
"Stallions de Amor" (2011) {The Equitable Life (#1.7)}	2011
"Stand Up and Cheer" (1971) {(#2.11)}	1972
"Stand-up.dk" (1997) {(#7.3)}	2011
"Star Trek: Hidden Frontier" (2000) {Refugees (#2.1)}	2001
"Star Trek: The Next Generation" (1987) {Home Soil (#1.17)}	1988
"Stargate SG-1" (1997) {Unnatural Selection (#6.12)}	2002
"Stargate: Atlantis" (2004) {Critical Mass (#2.13)}	2005
"Starhunter" (2003) {The Third Thing (#2.7)}	2003
"Starlight" (1936) {Lisa Minghetti (#1.2)}	1936
"Starlit Citadel Reviews" (2011) {For the Crown (#3.4)}	2014
"Starlit Citadel Reviews" (2011) {The Pathfinder Beginner Box (#1.15)}	2012
"Stars in Their Eyes" (1990) {(#5.5)}	1994
"Stars on Sunday" (1969) {(1975-10-26)}	1975
"StarStreet" (2001) {The Wrong Side (#1.11)}	2001
"Start-Ups: Silicon Valley" (2012) {Face Time (#1.7)}	2012
"State of the Union with John King" (2009) {(2014-03-30)}	2014
"Steam Train" (2013) {Five Nights at Freddy's 2: I Want Out!}	2014
"Steps" (2008) {(#1.1)}	2011
"Steptoe and Son" (1962) {T.B. or Not T.B.? (#5.6)}	1970
"Stern TV" (1990) {(1994-06-29)}	1994
"Steve Harvey" (2012) {She's 20-Something, Living at Home with No Job/Beating a Winter Cold/Winter Coats/Pet Fashion Show (#2.55)}	2013
"Still Standing" (2002) {Still Seceding (#2.23)}	2004
"Still Standing" (2015) {Oil Springs, ON (#1.6)}	2015
"Still the Beaver" (1983) {First Down (#4.9)}	1989
"Stingers" (1998) {Dog Eat Dog (#4.14)}	2001
"Stjerne for en aften - vinderen" (2003) {(#1.2)}	2003
"Sto para 5" (2005) {(#2.3)}	2006
"Sto vas zulja?" (2013) {(#1.12)}	2013
"Stolberg" (2006) {Im Dunkeln (#11.3)}	2012
"Stolichani v poveche" (2011) {(#4.3)}	2012
"Stolichani v poveche" (2011) {(#6.13)}	????
"Stones of the Raj" (2001)	2001-2001
"Stoppa tjuven" (2015) {(#1.3)}	2015
"Storage Wars: New York" (2013) {Bidding in the Rain (#2.13)}	2013
"Store dr�mme" (2009) {Et andet liv (#1.2)}	2009
"Store studio" (2002) {(#4.1)}	2004
"Stormworld" (2009) {Luce Island (#1.14)}	2009
"Story Parade" (1964) {Bargains at Special Prices} {{SUSPENDED}}	1964
"Stranded Teens" (2014) {Natural Hottie Fucks Outside}	2015
"Strasti po Chapayu" (2013) {(#1.9)}	????
"Strathblair" (1992) {(#2.4)}	1993
"Stratmanns - Jupps Kneipentheater im Pott" (2001) {(#1.97)}	2011
"Street Fighter II: V" (1995) {Fight to the Finish: Round 3 (#1.27)}	1995
"Street Hypnosis" (2004) {Seance}	2004
"Street Justice" (1991) {Circle of Death (#2.2)}	1992
"Street Legal" (1987) {Shadow Boxing (#5.4)}	1990
"Streit um Drei" (1998) {(#1.230)}	2000
"Stressed Eric" (1998) {Potato (#1.5)}	1998
"Strip the City" (2012) {Ice City: Toronto (#1.5)}	2012
"Strong Medicine" (2000) {History (#2.4)}	2001
"Studio 4" (1962) {The Intrigue (#1.4)}	1962
"Studio 45" (2011)	2011-????
"Studio 57" (1954) {Christmas Every Day (#1.14)}	1954
"Studio B" (2002) {(2012-07-18)}	2012
"Studio E" (1955) {(#1.16)}	1957
"Studio One" (1948) {June Moon (#1.19)}	1949
"Studio Virtanen" (2006) {(2008-01-08)}	2008
"Stuff the White Rabbit" (1997) {(#1.6)}	1997
"Stunt Junkies" (2006) {Shark Swoop (#1.1)}	2006
"Sturm der Liebe" (2005) {Liebesgest�ndnis (#1.2097)}	2014
"Sturm der Liebe" (2005) {Skandal um den B�rgermeister (#1.1836)}	2013
"STV/Comedy" (2010) {Woman on a Mission 3: Street Vendor}	2010
"Su media naranja" (1990) {(1995-03-03)}	1995
"Submarine Super 99" (2003) {Shindo ichiman nisen no shit�! (#1.3)}	2003
"Sucedi� en Madrid" (1993) {(1999-11-28)}	1999
"Sud prisyazhnykh: Okonchatelniy verdikt" (2011) {(#1.320)}	????
"Sud prisyazhnykh: Okonchatelniy verdikt" (2011) {(#1.356)}	????
"Sudbine" (2013) {(#1.59)}	2014
"Sugar Dome" (2012) {Cops and Robbers (#1.9)}	2013
"SugarBerries" (2014) {Danger Zone (#1.1)}	2014
"Sukai g�ruzu" (2007) {Hish� (#1.3)}	2007
"Sumau" (2006) {(#1.29)}	????
"Sumeba Miyako no Cosmos-s� suttoko taisen Dokkoid�" (2003) {Dokkoid� vs. �deruwaisu de dokkoi (#1.3)}	2003
"Summa positiva" (2013)	2013-????
"Summer Celebrations in San Diego" (2015) {CityFest: The Best Fest... All in Hillcrest (#1.11)}	????
"Summer with Cimorelli" (2014)	2014-????
"Summeri" (1999) {(2011-04-24)}	2011
"Sun... Sex & Suspicious Parents" (2011) {Malia (#2.2)}	2012
"Sunday Morning Shootout" (2003) {Javier Bardem/Amy Ryan (#5.18)}	2008
"Sunday Morning Shootout" (2003) {Tim Roth/Roger Daltrey (#5.10)}	2007
"Sunday Night Baseball" (1990) {Milwaukee Brewers vs. Houston Astros (#15.25)}	2004
"Sunday, Sunday" (1982) {(#8.8)}	1989
"Sunset Beach" (1997) {(#1.275)}	1998
"Sunset Beach" (1997) {(#1.539)}	1999
"Sunset Beach" (1997) {(#1.608)}	1999
"Sunset Beat" (1990) {Hollywood Blvd (#1.2)}	1990
"SunTrap" (2015) {The Usual Suspects (#1.5)}	2015
"Suomen t�ydelliset ven�l�isnaiset" (2015) {(#1.4)}	2015
"Super Geeked Up" (2012) {(#3.34)}	2015
"Super Mario Logan" (2007) {Shrek's Homemade Cheesecake (#6.4)}	2014
"Super Mario Logan" (2007) {The Fly (#6.13)}	2014
"Super Password" (1984) {(1986-08-19)}	1986
"Super Simple Science Stuff" (2009) {(#2.25)}	2011
"Super Soul Sunday" (2011) {Earth Love (#1.4)}	2011
"Superhj�ltejul" (2009) {(#1.8)}	2009
"Superhuman Samurai Syber-Squad" (1994) {Hide and Servo (#1.36)}	1994
"SuperNews!" (2005) {Bolton (#1.3)}	2005
"SuperNormal" (2007) {Flushed with Anger (#2.6)}	2008
"Superstore" (2015) {Labor (#1.11)}	2016
"Supreme Justice with Judge Karen" (2013) {My Man, My Plan}	2014
"Suprugi" (2009) {(#1.37)}	????
"Suraj: The Rising Star" (2012) {(#1.6)}	2013
"Sureiy�zu revolution" (2008) {Legacy: Kessen seir�n! (#1.12)}	2008
"Surgical Spirit" (1989) {The Son Also Rises (#4.3)}	1992
"Surprise Surprise!" (1984) {(#2.9)}	1984
"Survival" (1961) {Give a Dog a Bad Name}	1982
"Survival" (1961) {The Hole Story}	1994
"Survival" (1961) {Vampires of Wolf Island}	1990
"Surviving Disaster" (2009) {Pandemic (#1.9)}	2009
"Surviving the Cut" (2010) {Marine Recon (#1.3)}	2010
"Survivor" (2000) {The Princess (#4.11)}	2002
"Susana Gim�nez" (1998) {Luisana Lopilato/Michael Bubl�}	2011
"Suspense" (1949) {The Return Journey (#6.30)}	1954
"Sutajio 102" (1965) {(1965-05-15)}	1965
"Sutajio 102" (1965) {(1968-07-29)}	1968
"Sutajio 102" (1965) {(1971-07-06)}	1971
"Sutajio 102" (1965) {(1971-09-20)}	1971
"Sutajio 102" (1965) {(1972-03-07)}	1972
"Sutajio 102" (1965) {(1974-02-04)}	1974
"Sutajio 102" (1965) {(1977-11-17)}	1977
"Sutajio 102" (1965) {(1978-12-04)}	1978
"Sutajio 102" (1965) {(1979-02-08)}	1979
"Suteki na uch�sen chiky� g�" (1997) {Andesu ni waku seimei no mizu (#1.151)}	2000
"Svatby v Ben�tk�ch" (2014) {Dcer�m vstup zak�z�n (#2.12)}	2015
"Svati" (2014) {(#1.10)}	????
"Svet i ten mayaka" (2014) {(#1.49)}	????
"Svet i ten mayaka" (2014) {(#1.98)}	????
"Svetofor" (2011) {(#3.19)}	2011
"Svetofor" (2011) {(#5.11)}	2013
"Svoya igra" (1994) {(#1.23)}	1994
"Swamp Murders" (2013) {Murder in the Ozarks (#3.5)}	2015
"Swamp Thing" (1990) {Love Lost (#2.2)}	1992
"Swashbuckle" (2013) {Funny Games (#1.2)}	2013
"Sweet Season" (1998) {(#1.7)}	????
"Sweet Valley High" (1994) {Single in Sweet Valley (#4.14)}	1997
"Switch" (1975) {The Tong (#3.11)}	1978
"Switched!" (2003) {Ben and Lacey}	????
"Sword & Laser" (2012) {Author Spotlight: Elizabeth Bear (#2.10)}	2014
"Sword Art Online" (2012) {Showdown in the Wilderness (#2.6)}	2014
"Sykes and A..." (1960) {Sykes and a Mission (#4.1)}	1961
"Szomsz�dok" (1987) {(#1.306)}	1999
"S�lvame" (2009) {(2009-08-11)}	2009
"S� er der tegnefilm" (1980)	1980-1991
"S� er der tegnefilm" (2013) {(#1.1)}	2013
"S� lo que hicisteis la �ltima semana" (2006) {(2010-10-07)}	2010
"S�tio do Pica-Pau Amarelo" (2001) {(#5.104)}	2005
"S�tio do Pica-Pau Amarelo" (2001) {(#7.138)}	2007
"S�sei no Aquarion" (2005) {Fall in Love! Asagaya (#3.19)}	2015
"S�ndags�ppet" (1990) {(#12.14)}	1996
"S�ni �s bar�tai" (1995) {Ki besz�l a hangomon?}	1995
"T.J. Hooker" (1982) {Undercover Affair (#3.11)}	1983
"Ta mystika tis Edem" (2008) {(#1.49)}	2008
"Ta mystika tis Edem" (2008) {(#2.10)}	2009
"Ta mystika tis Edem" (2008) {(#3.31)}	2010
"Tabatha Takes Over" (2011) {Cinema Suites (#4.12)}	2011
"Tabi no chikara" (2011) {Maboroshi no kinueyo! Yomigaere}	2011
"Tabiji" (1967) {(#1.127)}	1967
"Tabiji" (1967) {(#1.137)}	1967
"Taburakashi ~Daik� Joy�gy� Maki~" (2012) {(#1.9)}	2012
"Taco Trip" (2014) {Portland, Oregon (#1.3)}	2014
"Tactik" (2008) {La v�rit� en face}	2013
"Tait Stages" (2013) {David Guetta (#1.1)}	????
"Taiy� to umi no ky�shitsu" (2008) {(#1.1)}	2008
"Takarajima" (1978) {(#1.12)}	1978
"Take a Look" (1986) {Fossils (#1.16)}	????
"Take the High Road" (1980) {(#1.1142)}	1994
"Take the High Road" (1980) {(#1.322)}	1985
"Take the High Road" (1980) {(#1.390)}	1986
"Talent High School - Il sogno di Sofia" (2012) {Un volto da copertina (#1.17)}	2012
"Talentschuppen" (1966) {(1977-01-23)}	1977
"Tales from the Crypt" (1989) {Well Cooked Hams (#5.8)}	1993
"Tales of the Unexpected" (1979) {A Time to Die (#9.9)}	1988
"Talk Soup: Weekend Edition" (1991) {(2011-06-29)}	2011
"Talking Movies" (1999) {Horror}	2015
"Talking with David Frost" (1991) {Barbara Bush}	1994
"Talkshow with Spike Feresten" (2006) {Olivia Munn and Hanson (#3.9)}	2008
"Tamayura" (1965) {(#1.103)}	1965
"Tamayura" (1965) {(#1.220)}	1965
"Tambi�n Caer�s" (1999) {(#15.6)}	2013
"Tamori kurabu" (1982) {(2008-01-26)}	2008
"Tank Story" (2012) {(#1.98)}	????
"Tanosh� M�min Ikka" (1990) {Obakejima e youkoso (#1.4)}	1990
"Tanssii t�htien kanssa" (2006) {(#4.6)}	2009
"Tanssit stadissa" (1994) {(1995-06-03)}	1995
"Tapas & Beijos" (2011) {Ops, Atropelei (#1.19)}	2011
"Taratata" (1993) {Sp�cial blues}	1997
"Tatakau! Shoten Girl" (2015) {(#1.4)}	2015
"Tatort" (1970) {Bienzle und der Tod in der Markthalle (#1.633)}	2006
"Tatort" (1970) {Das Totenspiel (#1.362)}	1997
"Tatort" (1970) {Der kalte Tod (#1.343)}	1996
"Tatort" (1970) {Flashback (#1.507)}	2002
"Tattoo Nightmares" (2012) {Krysta's Story (#2.1)}	2013
"Tavis Smiley" (2004) {(2005-06-01)}	2005
"Tavis Smiley" (2004) {(2009-01-13)}	2009
"Tavis Smiley" (2004) {(2015-03-18)}	2015
"Tavis Smiley" (2004) {(2015-06-16)}	2015
"Tavis Smiley" (2004) {(2015-10-13)}	2015
"Tavis Smiley" (2004) {(2015-11-16)}	2015
"Taxaquizzen" (2011) {(#2.1)}	2011
"Tayny nashego kino" (2010) {(#1.9)}	????
"Tayo, the Little Bus" (2010) {Let's Go Together (#2.5)}	2014
"Te sigo amando" (1996) {(#1.1)}	1996
"Teatro de Pacheco" (1973) {Luis Ayala, empleado p�blico}	1973
"Ted Nugent: Spirit of the Wild" (2001) {Queen of the Forest Excaliburs (#12.3)}	2013
"Ted Nugent: Spirit of the Wild" (2001) {The Wackmaster Fights for America (#12.18)}	2013
"Teen Dad" (2011) {Jon (#1.6)}	2011
"Teen Mom 2" (2011) {Faded Love (#4.4)}	2013
"Teen Titans" (2003) {Birthmark (#4.3)}	2005
"Teenage Mutant Ninja Turtles" (1987) {Camera Bugged (#3.20)}	1989
"Teenager werden M�tter" (2014) {(2015-03-30)}	2015
"Teenagers" (2014)	2014-????
"Tegtmeier kl�rt auf" (1981) {...�ber Muntervideo (#3.3)}	1983
"Tekniskt magasin" (1958) {(1981-05-01)}	1981
"Telecup�n" (1990) {(1994-07-14)}	1994
"Telecup�n" (1990) {(1995-01-31)}	1995
"Telecup�n" (1990) {(1998-02-06)}	1998
"Telecup�n" (1990) {(2000-10-09)}	2000
"Telecup�n" (1990) {(2000-12-15)}	2000
"Telecup�n" (1990) {(2001-05-31)}	2001
"Telecup�n" (1990) {(2003-08-29)}	2003
"Telediario" (1957) {(1976-08-18)}	1976
"Telediario" (1957) {(1978-12-18)}	1978
"Telediario" (1957) {(1994-03-27)}	1994
"Telediario" (1957) {(1994-07-24)}	1994
"Telediario" (1957) {(1995-02-19)}	1995
"Telediario" (1957) {(1996-08-10)}	1996
"Telediario" (1957) {(1999-08-11)}	1999
"Telediario" (1957) {(2000-06-17)}	2000
"Telediario" (1957) {(2001-12-31)}	2001
"Telediario" (1957) {(2002-02-28)}	2002
"Telediario" (1957) {(2002-04-17)}	2002
"Telediario" (1957) {(2002-10-22)}	2002
"Telediario" (1957) {(2002-11-20)}	2002
"Telediario" (1957) {(2003-09-03)}	2003
"Telediario" (1957) {(2005-08-16)}	2005
"Telediario" (1957) {(2008-03-17)}	2008
"Telediario" (1957) {(2012-07-23)}	2012
"Telediario" (1957) {(2013-09-11)}	2013
"TeleMonegal" (2003) {(#2.31)}	2010
